Code;Species;Interaction;Year;Date;Locality;Habitat;Provincias;Latitude;Longitud;Altitude (m);Collectors (leg.);sex;Intertegular_distance (mm)
BPVAL240221;Bombus pascuorum;Anthyllis vulneraria;2024;23/5/24;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8901508;-3,2464186;996,875;"AM; LC; ET";Female;5.2
BPVAL240222;Bombus pascuorum;Acinus alpinus;2024;23/5/24;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8901508;-3,2464186;996,875;"AM; LC; ET";Female;4.11
BPVAL240223;Bombus pascuorum;Acinus alpinus;2024;23/5/24;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8901508;-3,2464186;996,875;"AM; LC; ET";Female;4.92
BPVAL240224;Bombus pascuorum;Acinus alpinus;2024;23/5/24;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8901508;-3,2464186;996,875;"AM; LC; ET";Female;5.1
BPVAL240225;Bombus pascuorum;Acinus alpinus;2024;23/5/24;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8901508;-3,2464186;996,875;"AM; LC; ET";Female;3.58
BPVAL240226;Bombus pascuorum;Acinus alpinus;2024;23/5/24;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8901508;-3,2464186;996,875;"AM; LC; ET";Female;4.87
BPVAL240227;Bombus pascuorum;Acinus alpinus;2024;23/5/24;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8901508;-3,2464186;996,875;"AM; LC; ET";Female;3.33
BPKAR240401;Bombus pascuorum;Genista hispanica;2024;28/5/24;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"AM; LC; ET";Female;3.83
BPKAR240404;Bombus pascuorum;Genista hispanica;2024;28/5/24;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"AM; LC; ET";Female;3.42
BPKAR240405;Bombus pascuorum;Echium vulgare;2024;28/5/24;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"AM; LC; ET";Female;3.3
BPKAR240406;Bombus pascuorum;Echium vulgare;2024;28/5/24;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"AM; LC; ET";Female;3.47
BPKAR240407;Bombus pascuorum;Echium vulgare;2024;28/5/24;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"AM; LC; ET";Female;3.44
BPKAR240408;Bombus pascuorum;Genista hispanica;2024;28/5/24;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"AM; LC; ET";Female;3.42
BPKAR240409;Bombus pascuorum;Coronilla minima;2024;28/5/24;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"AM; LC; ET";Female;4.56
BPKAR240410;Bombus pascuorum;Genista hispanica;2024;28/5/24;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"AM; LC; ET";Female;4.57
BPKAR240411;Bombus pascuorum;Echium vulgare;2024;28/5/24;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"AM; LC; ET";Female;3.9
BPKAR240512;Bombus pascuorum;Echium vulgare;2024;28/5/24;Barrón, Ribera-Alta;Agrícola;Araba;42,8403908;-2,9832317;714,027;"LC; ET";Female;3.38
BPGAS240901;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.96
BPGAS240902;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;4.09
BPGAS240903;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.93
BPGAS240904;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.48
BPGAS240905;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;4.06
BPGAS240906;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.88
BPGAS240907;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.64
BPGAS240908;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.62
BPGAS240909;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.73
BPGAS240910;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.61
BPGAS240911;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.76
BPGAS240912;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.51
BPGAS240913;Bombus pascuorum;Salvia officinalis;2024;28/5/24;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"LC; ET";Female;3.65
BPZEB240707M;Bombus pascuorum;Rubus sp.;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;5.55
BPZEB240708;Bombus pascuorum;Rubus sp.;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;4.11
BPZEB240709M;Bombus pascuorum;Rubus sp.;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;2.9
BPZEB240710;Bombus pascuorum;Scrophularia auriculata;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;3.93
BPZEB240711M;Bombus pascuorum;Geranium sp.;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;3.51
BPZEB240712M;Bombus pascuorum;Geranium sp.;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;3.58
BPZEB240713;Bombus pascuorum;Scrophularia auriculata;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;4.06
BPZEB240716;Bombus pascuorum;Scrophularia auriculata;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;3.41
BPZEB240717M;Bombus pascuorum;Rubus sp.;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;3.92
BPZEB240720;Bombus pascuorum;Rubus sp.;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;2.8
BPZEB240723;Bombus pascuorum;Scrophularia auriculata;2024;29/5/24;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"AM; LC; ET";Female;3.03
BPBIL240801;Bombus pascuorum;Stachys sylvatica;2024;29/5/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";Female;3.85
BPBIL240804;Bombus pascuorum;Stachys sylvatica;2024;29/5/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";Female;3.13
BPBIL240811M;Bombus pascuorum;Stachys sylvatica;2024;29/5/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";Female;4.1
BPBIL240815;Bombus pascuorum;Stachys sylvatica;2024;29/5/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";Female;3.89
BPBIL240816M;Bombus pascuorum;Stachys sylvatica;2024;29/5/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";Female;4.17
BPBIL240817M;Bombus pascuorum;Stachys sylvatica;2024;29/5/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";Female;3.36
BPBIL240818M;Bombus pascuorum;Stachys sylvatica;2024;29/5/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";Male;4.67
BPBIL240819;Bombus pascuorum;Stachys sylvatica;2024;6/6/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;LC;Female;2.51
