Code;Species;Interaction;Year;Date;Locality;Habitat;Provincias;Latitude;Longitud;Altitude (m);Collectors (leg.);sex;Intertegular_distance (mm)
VAL240221;Bombus pascuorum;Anthyllis vulneraria;2024;23/05/2024;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.901.508;-32.464.186;996.875;"AM; LC; ET";Female;5.2
VAL240222;Bombus pascuorum;Acinus alpinus;2024;23/05/2024;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.901.508;-32.464.186;996.875;"AM; LC; ET";Female;4.11
VAL240223;Bombus pascuorum;Acinus alpinus;2024;23/05/2024;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.901.508;-32.464.186;996.875;"AM; LC; ET";Female;4.92
VAL240224;Bombus pascuorum;Acinus alpinus;2024;23/05/2024;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.901.508;-32.464.186;996.875;"AM; LC; ET";Female;5.1
VAL240225;Bombus pascuorum;Acinus alpinus;2024;23/05/2024;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.901.508;-32.464.186;996.875;"AM; LC; ET";Female;3.58
VAL240226;Bombus pascuorum;Acinus alpinus;2024;23/05/2024;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.901.508;-32.464.186;996.875;"AM; LC; ET";Female;4.87
VAL240227;Bombus pascuorum;Acinus alpinus;2024;23/05/2024;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.901.508;-32.464.186;996.875;"AM; LC; ET";Female;3.33
KAR240401;Bombus pascuorum;Genista hispanica;2024;28/05/2024;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"AM; LC; ET";Female;3.83
KAR240404;Bombus pascuorum;Genista hispanica;2024;28/05/2024;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"AM; LC; ET";Female;3.42
KAR240405;Bombus pascuorum;Echium vulgare;2024;28/05/2024;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"AM; LC; ET";Female;3.3
KAR240406;Bombus pascuorum;Echium vulgare;2024;28/05/2024;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"AM; LC; ET";Female;3.47
KAR240407;Bombus pascuorum;Echium vulgare;2024;28/05/2024;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"AM; LC; ET";Female;3.44
KAR240408;Bombus pascuorum;Genista hispanica;2024;28/05/2024;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"AM; LC; ET";Female;3.42
KAR240409;Bombus pascuorum;Coronilla minima;2024;28/05/2024;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"AM; LC; ET";Female;4.56
