Code,Species,Interaction,Year,Date,Locality,Habitat,Provincias,Latitude,Longitud,Altitude (m),Collectors (leg.),sex,Intertegular_distance (mm),Est.Weight,CI_Lower,CI_Upper
VAL240221,Bombus pascuorum,Anthyllis vulneraria,2024,23/05/2024,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.901.508,-32.464.186,996.875,AM; LC; ET,Female,5.2,111.70104117445788,62.850617948819476,195.18442850545821
VAL240222,Bombus pascuorum,Acinus alpinus,2024,23/05/2024,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.901.508,-32.464.186,996.875,AM; LC; ET,Female,4.11,65.85649778727603,37.20816693619548,116.37429747136288
VAL240223,Bombus pascuorum,Acinus alpinus,2024,23/05/2024,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.901.508,-32.464.186,996.875,AM; LC; ET,Female,4.92,98.881596495238,56.01665371985309,177.46389730680121
VAL240224,Bombus pascuorum,Acinus alpinus,2024,23/05/2024,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.901.508,-32.464.186,996.875,AM; LC; ET,Female,5.1,107.85361394101676,60.6389249156356,192.4954878967383
VAL240225,Bombus pascuorum,Acinus alpinus,2024,23/05/2024,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.901.508,-32.464.186,996.875,AM; LC; ET,Female,3.58,48.55429224062797,27.55596156801147,85.08080454939766
VAL240226,Bombus pascuorum,Acinus alpinus,2024,23/05/2024,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.901.508,-32.464.186,996.875,AM; LC; ET,Female,4.87,97.11477923396257,55.20772376401268,170.3716510470566
VAL240227,Bombus pascuorum,Acinus alpinus,2024,23/05/2024,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.901.508,-32.464.186,996.875,AM; LC; ET,Female,3.33,41.48741521375973,23.136472630800522,73.48087997093229
KAR240401,Bombus pascuorum,Genista hispanica,2024,28/05/2024,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,AM; LC; ET,Female,3.83,56.82053131653092,32.45195974955659,102.75114478132393
KAR240404,Bombus pascuorum,Genista hispanica,2024,28/05/2024,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,AM; LC; ET,Female,3.42,43.53169120298816,24.856875430501482,75.13585080392316
KAR240405,Bombus pascuorum,Echium vulgare,2024,28/05/2024,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,AM; LC; ET,Female,3.3,40.40664097715977,22.909740009812406,71.59136923207207
KAR240406,Bombus pascuorum,Echium vulgare,2024,28/05/2024,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,AM; LC; ET,Female,3.47,45.3028320446299,25.426449880703966,78.80989305559966
KAR240407,Bombus pascuorum,Echium vulgare,2024,28/05/2024,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,AM; LC; ET,Female,3.44,44.10629809202515,25.3029851057787,75.62755876240666
KAR240408,Bombus pascuorum,Genista hispanica,2024,28/05/2024,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,AM; LC; ET,Female,3.42,43.634014646654016,24.462724949919924,76.83087164318735
KAR240409,Bombus pascuorum,Coronilla minima,2024,28/05/2024,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,AM; LC; ET,Female,4.56,83.59197051637615,48.60866508793951,146.27338695603524
KAR240410,Bombus pascuorum,Genista hispanica,2024,28/05/2024,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,AM; LC; ET,Female,4.57,83.94285084152644,48.30122096293863,145.98346631044984
KAR240411,Bombus pascuorum,Echium vulgare,2024,28/05/2024,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,AM; LC; ET,Female,3.9,59.08139370548843,33.85813027699414,103.98093035838528
KAR240512,Bombus pascuorum,Echium vulgare,2024,28/05/2024,"Barrón, Ribera-Alta",Agrícola,Araba,428.403.908,-29.832.317,714.027,LC; ET,Female,3.38,42.668682746065116,24.3518778847682,72.69047944345081
