Sample	Cellular_organisms_pct	Bacteria_pct	NonBacteria_pct
BPART241001	99.99	91.65	8.34
BPART241002	100.00	98.24	1.76
BPART241003	100.00	97.90	2.10
BPART241004	100.00	94.65	5.35
BPART241006	99.95	97.84	2.11
BPART241017M	99.82	95.51	4.31
BPART251001	99.93	98.75	1.18
BPART251002	99.99	99.02	0.97
BPART251003	99.98	98.90	1.08
BPART251004	99.99	98.05	1.94
BPART251005	99.99	98.15	1.84
BPATZ241114	99.99	98.84	1.15
BPATZ241115	100.00	97.31	2.69
BPATZ241116	99.97	98.37	1.60
BPATZ241117	99.99	99.63	0.36
BPATZ241118	99.99	99.50	0.49
BPATZ251101	99.99	99.47	0.52
BPATZ251102	100.00	99.44	0.56
BPATZ251103	99.99	99.28	0.71
BPATZ251104	99.97	99.08	0.89
BPATZ251105	99.97	98.90	1.07
BPBIL240811M	97.54	50.22	47.32
BPBIL240816M	96.05	43.02	53.03
BPBIL240817M	99.81	48.65	51.16
BPBIL240818M	99.85	98.77	1.08
BPBIL240820M	99.87	93.73	6.14
BPBIL240821M	99.83	95.56	4.27
BPBIL250801	99.99	97.87	2.12
BPBIL250802	99.92	78.54	21.38
BPBIL250803	100.00	84.35	15.65
BPBIL250804	99.99	99.27	0.72
BPBIL250805	100.00	98.63	1.37
BPDON240901	99.98	95.82	4.16
BPDON240902	100.00	97.65	2.35
BPDON240903	99.99	97.18	2.81
BPDON240904	99.95	88.98	10.97
BPDON240905	99.98	93.36	6.62
BPDON250901	100.00	99.38	0.62
BPDON250902	99.95	99.27	0.68
BPDON250903	99.48	95.16	4.32
BPDON250904	100.00	97.18	2.82
BPDON250905	99.98	91.00	8.98
BPGAS240901	99.98	98.65	1.33
BPGAS240903	100.00	98.84	1.16
BPGAS240904	99.99	93.81	6.18
BPGAS240905	100.00	95.02	4.98
BPGAS240906	99.96	89.74	10.22
BPGAS250901	99.85	97.87	1.98
BPGAS250902	99.75	99.25	0.50
BPGAS250903	99.99	96.09	3.90
BPGAS250904	99.79	99.24	0.55
BPGAS250905	99.98	99.52	0.46
BPGOR241401M	99.71	92.92	6.79
BPGOR241406M	99.30	66.27	33.03
BPGOR241407M	99.81	89.90	9.91
BPGOR241408M	99.95	91.93	8.02
BPGOR241409M	99.87	94.39	5.48
BPGOR241410M	99.98	98.65	1.33
BPGOR251401	100.00	83.98	16.02
BPGOR251402	99.38	90.31	9.07
BPGOR251403	99.98	97.46	2.52
BPGOR251404	100.00	85.17	14.83
BPGOR251405	99.60	90.91	8.69
BPKAR240401	99.96	98.46	1.50
BPKAR240404	99.96	99.57	0.39
BPKAR240405	99.81	99.11	0.70
BPKAR240406	100.00	99.50	0.50
BPKAR240407	99.74	79.00	20.74
BPKAR250401	95.58	94.82	0.76
BPKAR250402	99.99	99.49	0.50
BPKAR250403	99.99	99.44	0.55
BPKAR250405	99.96	90.77	9.19
BPKAR250406	99.94	77.59	22.35
BPVAL240221	100.00	96.22	3.78
BPVAL240222	99.99	99.45	0.54
BPVAL240223	99.90	99.23	0.67
BPVAL240224	95.19	81.31	13.88
BPVAL240225	99.98	90.15	9.83
BPVAL250101	99.98	91.62	8.36
BPVAL250102	99.99	89.40	10.59
BPVAL250103	99.98	97.63	2.35
BPVAL250104	99.99	99.49	0.50
BPVAL250105	99.99	89.04	10.95
BPZEB240707M	99.88	88.38	11.50
BPZEB240709M	99.98	90.62	9.36
BPZEB240711M	99.96	86.46	13.50
BPZEB240712M	99.56	89.83	9.73
BPZEB240717M	99.91	98.34	1.57
BPZEB250701	99.99	99.50	0.49
BPZEB250702	99.98	98.87	1.11
BPZEB250703	100.00	98.49	1.51
BPZEB250704	99.99	99.23	0.76
BPZEB250705	99.99	99.05	0.94
