Sample	Rank	TaxID	Name	Percentage	Reads_clade
BPART241001	F	1240483	Orbaceae	12.75	22473
BPART241001	G	1193503	Gilliamella	11.77	20740
BPART241001	S	2704653	Gilliamella sp. ESL0405	2.05	3612
BPART241001	S	2704654	Gilliamella sp. ESL0441	1.80	3176
BPART241001	S	2817969	Gilliamella sp. B3022	1.39	2445
BPART241001	S	2704655	Gilliamella sp. ESL0443	1.24	2191
BPART241001	S	3120264	Gilliamella sp. wkB7	1.32	2335
BPART241001	S	1970738	Gilliamella apis	2.16	3814
BPART241001	S	1196095	Gilliamella apicola	1.79	3163
BPART241001	G	743714	Orbus	0.61	1083
BPART241001	S	3074111	Orbus wheelerorum	0.27	479
BPART241001	S	3074107	Orbus mooreae	0.23	413
BPART241001	S	3074109	Orbus sturtevantii	0.11	190
BPART241001	G	1335631	Frischella	0.20	348
BPART241001	S	1267021	Frischella perrara	0.20	348
BPART241001	G	2894762	Zophobihabitans	0.10	175
BPART241001	S	1635327	Zophobihabitans entericus	0.10	175
BPART241001	G	3373510	Utexia	0.07	124
BPART241001	S	3074108	Utexia brackfieldae	0.07	124
BPART241001	F	543	Enterobacteriaceae	1.36	2389
BPART241001	G	570	Klebsiella	0.61	1076
BPART241001	S	573	Klebsiella pneumoniae	0.58	1028
BPART241001	S	548	Klebsiella aerogenes	0.01	18
BPART241001	S	571	Klebsiella oxytoca	0.01	17
BPART241001	S	1259973	Klebsiella electrica	0.01	11
BPART241001	G	561	Escherichia	0.23	401
BPART241001	S	562	Escherichia coli	0.22	388
BPART241001	S	1499973	Escherichia marmotae	0.01	12
BPART241001	G	590	Salmonella	0.18	325
BPART241001	S	54736	Salmonella bongori	0.01	15
BPART241001	S	28901	Salmonella enterica	0.18	310
BPART241001	G	547	Enterobacter	0.11	195
BPART241001	S	2707174	Enterobacter sp. T2	0.09	159
BPART241001	S	3116481	Enterobacter sp. ECC-249	0.01	11
BPART241001	S	550	Enterobacter cloacae	0.01	23
BPART241001	G	544	Citrobacter	0.08	134
BPART241001	S	546	Citrobacter freundii	0.05	96
BPART241001	S	2546350	Citrobacter arsenatis	0.01	17
BPART241001	S	2894201	Citrobacter meridianamericanus	0.01	20
BPART241001	G	203804	Candidatus Blochmanniella	0.01	22
BPART241001	S	700220	Blochmannia endosymbiont of Camponotus sp.	0.01	22
BPART241001	G	568988	Candidatus Regiella	0.01	10
BPART241001	S	3077956	Candidatus Regiella endosymbiont of Tuberolachnus salignus	0.01	10
BPART241001	G	1906659	Candidatus Hoaglandella	0.00	8
BPART241001	S	1778263	Candidatus Hoaglandella endobia	0.00	8
BPART241001	G	451512	Mangrovibacter	0.02	32
BPART241001	S	1691903	Mangrovibacter phragmitis	0.02	32
BPART241001	G	83654	Leclercia	0.02	32
BPART241001	S	83655	Leclercia adecarboxylata	0.02	32
BPART241001	G	579	Kluyvera	0.01	21
BPART241001	S	61648	Kluyvera intermedia	0.01	21
BPART241001	S	2675781	Enterobacteriaceae endosymbiont of Donacia provostii	0.01	20
BPART241001	G	1330547	Kosakonia	0.01	18
BPART241001	S	551989	Kosakonia arachidis	0.01	18
BPART241001	G	158876	Yokenella	0.01	15
BPART241001	S	158877	Yokenella regensburgei	0.01	15
BPART241001	G	413496	Cronobacter	0.01	15
BPART241001	S	413497	Cronobacter dublinensis	0.01	15
BPART241001	G	1177214	Candidatus Profftia	0.01	14
BPART241001	S	1177216	Candidatus Profftia tarda	0.01	14
BPART241001	G	702	Plesiomonas	0.01	13
BPART241001	S	703	Plesiomonas shigelloides	0.01	13
BPART241001	G	1330546	Pluralibacter	0.01	13
BPART241001	S	1334193	[Enterobacter] lignolyticus	0.01	13
BPART241001	G	82976	Buttiauxella	0.01	11
BPART241001	S	3073902	Buttiauxella selenatireducens	0.01	11
BPART241001	G	690591	Candidatus Curculioniphilus	0.00	8
BPART241001	S	690594	Candidatus Curculioniphilus buchneri	0.00	8
BPART241001	F	1903414	Morganellaceae	0.84	1484
BPART241001	G	586	Providencia	0.33	577
BPART241001	S	126385	Providencia alcalifaciens	0.04	70
BPART241001	S	333962	Providencia heimbachae	0.03	58
BPART241001	S	587	Providencia rettgeri	0.17	304
BPART241001	S	2828763	Providencia sp. R33	0.02	39
BPART241001	S	158850	Providencia rustigianii	0.02	35
BPART241001	S	2923283	Providencia manganoxydans	0.03	54
BPART241001	S	2027290	Providencia huaxiensis	0.01	14
BPART241001	G	583	Proteus	0.28	489
BPART241001	S	584	Proteus mirabilis	0.07	127
BPART241001	S	585	Proteus vulgaris	0.06	106
BPART241001	S	183417	Proteus hauseri	0.03	46
BPART241001	S	2697019	Proteus sp. ZN5	0.02	30
BPART241001	S	2050966	Proteus cibi	0.02	37
BPART241001	S	1574161	Proteus terrae	0.06	108
BPART241001	S	2050967	Proteus faecis	0.01	16
BPART241001	S	1987580	Proteus columbae	0.01	15
BPART241001	G	626	Xenorhabdus	0.09	165
BPART241001	S	3085177	Xenorhabdus taiwanensis	0.02	28
BPART241001	S	351671	Xenorhabdus doucetiae	0.01	20
BPART241001	S	40577	Xenorhabdus poinarii	0.01	20
BPART241001	S	3026967	Xenorhabdus bakwenae	0.01	21
BPART241001	S	351672	Xenorhabdus griffiniae	0.02	38
BPART241001	S	290110	Xenorhabdus budapestensis	0.01	17
BPART241001	S	40576	Xenorhabdus bovienii	0.01	18
BPART241001	G	637	Arsenophonus	0.06	114
BPART241001	S	638	Arsenophonus nasoniae	0.02	40
BPART241001	S	3041619	Arsenophonus sp. aPb	0.01	18
BPART241001	S	634121	Arsenophonus symbiont of Ornithomya chloropus	0.01	9
BPART241001	S	2879119	Arsenophonus apicola	0.01	21
BPART241001	S	1247023	Candidatus Arsenophonus nilaparvatae	0.01	24
BPART241001	G	29487	Photorhabdus	0.04	69
BPART241001	S	230089	Photorhabdus thracensis	0.02	35
BPART241001	S	2218628	Photorhabdus laumondii	0.01	20
BPART241001	S	291112	Photorhabdus asymbiotica	0.01	13
BPART241001	G	158848	Moellerella	0.02	35
BPART241001	S	158849	Moellerella wisconsensis	0.02	35
BPART241001	G	581	Morganella	0.02	33
BPART241001	S	582	Morganella morganii	0.02	33
BPART241001	F	1903409	Erwiniaceae	0.40	697
BPART241001	G	32199	Buchnera	0.13	235
BPART241001	S	9	Buchnera aphidicola	0.13	235
BPART241001	G	551	Erwinia	0.10	174
BPART241001	S	1922217	Candidatus Erwinia haradaeae	0.02	40
BPART241001	S	55211	Erwinia persicina	0.02	42
BPART241001	S	3141543	Erwinia sp. HDF1-3R	0.02	31
BPART241001	S	55212	Erwinia rhapontici	0.01	23
BPART241001	S	1324864	[Pantoea] beijingensis	0.01	14
BPART241001	S	79967	Erwinia pyrifoliae	0.01	12
BPART241001	S	65700	Erwinia tracheiphila	0.01	9
BPART241001	G	82986	Tatumella	0.09	165
BPART241001	S	82987	Tatumella ptyseos	0.09	154
BPART241001	S	53336	Tatumella citrea	0.01	10
BPART241001	G	53335	Pantoea	0.07	122
BPART241001	S	549	Pantoea agglomerans	0.02	26
BPART241001	S	470933	Pantoea eucalypti	0.03	45
BPART241001	S	574096	Pantoea allii	0.01	12
BPART241001	S	2769024	Pantoea phytostimulans	0.00	8
BPART241001	S	470934	Pantoea vagans	0.01	16
BPART241001	S	1891675	Pantoea alhagi	0.01	11
BPART241001	F	1903412	Hafniaceae	0.15	268
BPART241001	G	568	Hafnia	0.15	255
BPART241001	S	569	Hafnia alvei	0.15	255
BPART241001	G	635	Edwardsiella	0.01	12
BPART241001	S	93378	Edwardsiella hoshinae	0.01	12
BPART241001	F	1903411	Yersiniaceae	0.15	261
BPART241001	G	629	Yersinia	0.11	189
BPART241001	S	3344550	Yersinia sp. HM-2024	0.02	30
BPART241001	S	2339259	Yersinia hibernica	0.02	43
BPART241001	S	29486	Yersinia ruckeri	0.01	25
BPART241001	S	29485	Yersinia rohdei	0.01	16
BPART241001	S	29483	Yersinia aldovae	0.01	20
BPART241001	S	935293	Yersinia entomophaga	0.01	13
BPART241001	S	33060	Yersinia mollaretii	0.01	18
BPART241001	S	630	Yersinia enterocolitica	0.01	20
BPART241001	G	613	Serratia	0.04	63
BPART241001	S	615	Serratia marcescens	0.03	46
BPART241001	S	82996	Serratia plymuthica	0.01	16
BPART241001	G	34037	Rahnella	0.00	8
BPART241001	S	574964	Rahnella variigena	0.00	8
BPART241001	F	1903410	Pectobacteriaceae	0.04	69
BPART241001	G	122277	Pectobacterium	0.02	42
BPART241001	S	69221	Pectobacterium cacticida	0.02	42
BPART241001	G	71655	Brenneria	0.01	17
BPART241001	S	55213	Brenneria rubrifaciens	0.01	17
BPART241001	G	2884243	Musicola	0.01	9
BPART241001	S	69223	Musicola paradisiaca	0.01	9
BPART241001	F	1903416	Budviciaceae	0.01	21
BPART241001	G	82984	Pragia	0.01	21
BPART241001	S	82985	Pragia fontium	0.01	21
BPART241001	F	2812006	Bruguierivoracaceae	0.00	8
BPART241001	G	84565	Sodalis	0.00	8
BPART241001	S	1929246	Sodalis endosymbiont of Henestaris halophilus	0.00	8
BPART241001	F	468	Moraxellaceae	2.83	4994
BPART241001	G	469	Acinetobacter	2.80	4930
BPART241001	S	2983215	Acinetobacter sp. ESL0695	1.41	2489
BPART241001	S	1646498	Acinetobacter sp. TTH0-4	0.03	55
BPART241001	S	3120518	Acinetobacter sp. KS-LM10	0.02	35
BPART241001	S	1608473	Acinetobacter sp. NCu2D-2	0.02	30
BPART241001	S	2953738	Acinetobacter sp. Z1	0.02	28
BPART241001	S	1407071	Acinetobacter sp. TGL-Y2	0.01	24
BPART241001	S	3003392	Acinetobacter sp. TR3	0.08	144
BPART241001	S	2905879	Acinetobacter sp. SH20PTE14	0.04	65
BPART241001	S	2919921	Acinetobacter sp. A7.4	0.01	18
BPART241001	S	2004646	Acinetobacter sp. WCHA55	0.01	21
BPART241001	S	2563897	Acinetobacter sp. 10FS3-1	0.01	18
BPART241001	S	1879049	Acinetobacter sp. WCHAc010034	0.01	16
BPART241001	S	3379131	Acinetobacter sp. SEK541	0.01	16
BPART241001	S	2923375	Acinetobacter sp. XS-4	0.01	14
BPART241001	S	362457	Acinetobacter sp. A2	0.01	16
BPART241001	S	472	Acinetobacter sp.	0.01	13
BPART241001	S	2743575	Acinetobacter sp. NEB 394	0.01	22
BPART241001	S	2601122	Acinetobacter sp. YH12138	0.02	30
BPART241001	S	3020716	Acinetobacter sp. GSS19	0.00	8
BPART241001	S	470	Acinetobacter baumannii	0.38	666
BPART241001	S	48296	Acinetobacter pittii	0.08	136
BPART241001	S	106654	Acinetobacter nosocomialis	0.03	48
BPART241001	S	1530123	Acinetobacter seifertii	0.02	42
BPART241001	S	471	Acinetobacter calcoaceticus	0.01	20
BPART241001	S	40214	Acinetobacter johnsonii	0.06	98
BPART241001	S	29430	Acinetobacter haemolyticus	0.03	56
BPART241001	S	40215	Acinetobacter junii	0.05	80
BPART241001	S	2006115	Acinetobacter piscicola	0.02	42
BPART241001	S	1789224	Acinetobacter larvae	0.02	34
BPART241001	S	1879050	Acinetobacter wuhouensis	0.02	40
BPART241001	S	1324350	Acinetobacter equi	0.02	30
BPART241001	S	52133	Acinetobacter venetianus	0.02	31
BPART241001	S	487316	Acinetobacter soli	0.02	30
BPART241001	S	108980	Acinetobacter ursingii	0.03	50
BPART241001	S	28090	Acinetobacter lwoffii	0.03	49
BPART241001	S	756892	Acinetobacter indicus	0.02	29
BPART241001	S	1871111	Acinetobacter defluvii	0.02	30
BPART241001	S	1443941	Acinetobacter gandensis	0.02	27
BPART241001	S	202956	Acinetobacter towneri	0.02	40
BPART241001	S	106648	Acinetobacter bereziniae	0.02	30
BPART241001	S	280145	Acinetobacter colistiniresistens	0.01	19
BPART241001	S	1776741	Acinetobacter proteolyticus	0.01	18
BPART241001	S	2715164	Acinetobacter shaoyimingii	0.01	15
BPART241001	S	2004650	Acinetobacter chinensis	0.01	20
BPART241001	S	202950	Acinetobacter baylyi	0.01	15
BPART241001	S	2136182	Acinetobacter cumulans	0.01	17
BPART241001	S	106649	Acinetobacter guillouiae	0.01	20
BPART241001	S	2943497	Acinetobacter tibetensis	0.01	15
BPART241001	S	2715163	Acinetobacter lanii	0.01	13
BPART241001	S	2662362	Acinetobacter wanghuae	0.01	12
BPART241001	S	40216	Acinetobacter radioresistens	0.01	16
BPART241001	S	202951	Acinetobacter bouvetii	0.01	10
BPART241001	S	280147	Acinetobacter courvalinii	0.01	9
BPART241001	S	3045147	Acinetobacter corruptisaponis	0.01	9
BPART241001	S	2053287	Acinetobacter pseudolwoffii	0.01	15
