Genome	BPART241001.sorted Relative Abundance (%)	BPART241002.sorted Relative Abundance (%)	BPART241003.sorted Relative Abundance (%)	BPART241004.sorted Relative Abundance (%)	BPART241006.sorted Relative Abundance (%)	BPART241017M.sorted Relative Abundance (%)	BPART251001.sorted Relative Abundance (%)	BPART251002.sorted Relative Abundance (%)	BPART251003.sorted Relative Abundance (%)	BPART251004.sorted Relative Abundance (%)	BPART251005.sorted Relative Abundance (%)	BPATZ241114.sorted Relative Abundance (%)	BPATZ241115.sorted Relative Abundance (%)	BPATZ241116.sorted Relative Abundance (%)	BPATZ241117.sorted Relative Abundance (%)	BPATZ241118.sorted Relative Abundance (%)	BPATZ251101.sorted Relative Abundance (%)	BPATZ251102.sorted Relative Abundance (%)	BPATZ251103.sorted Relative Abundance (%)	BPATZ251104.sorted Relative Abundance (%)	BPATZ251105.sorted Relative Abundance (%)	BPBIL240811M.sorted Relative Abundance (%)	BPBIL240816M.sorted Relative Abundance (%)	BPBIL240817M.sorted Relative Abundance (%)	BPBIL240818M.sorted Relative Abundance (%)	BPBIL240820M.sorted Relative Abundance (%)	BPBIL240821M.sorted Relative Abundance (%)	BPBIL250801.sorted Relative Abundance (%)	BPBIL250802.sorted Relative Abundance (%)	BPBIL250803.sorted Relative Abundance (%)	BPBIL250804.sorted Relative Abundance (%)	BPBIL250805.sorted Relative Abundance (%)	BPDON240901.sorted Relative Abundance (%)	BPDON240902.sorted Relative Abundance (%)	BPDON240903.sorted Relative Abundance (%)	BPDON240904.sorted Relative Abundance (%)	BPDON240905.sorted Relative Abundance (%)	BPDON250901.sorted Relative Abundance (%)	BPDON250902.sorted Relative Abundance (%)	BPDON250903.sorted Relative Abundance (%)	BPDON250904.sorted Relative Abundance (%)	BPDON250905.sorted Relative Abundance (%)	BPGAS240901.sorted Relative Abundance (%)	BPGAS240903.sorted Relative Abundance (%)	BPGAS240904.sorted Relative Abundance (%)	BPGAS240905.sorted Relative Abundance (%)	BPGAS240906.sorted Relative Abundance (%)	BPGAS250901.sorted Relative Abundance (%)	BPGAS250902.sorted Relative Abundance (%)	BPGAS250903.sorted Relative Abundance (%)	BPGAS250904.sorted Relative Abundance (%)	BPGAS250905.sorted Relative Abundance (%)	BPGOR241401M.sorted Relative Abundance (%)	BPGOR241406M.sorted Relative Abundance (%)	BPGOR241407M.sorted Relative Abundance (%)	BPGOR241408M.sorted Relative Abundance (%)	BPGOR241409M.sorted Relative Abundance (%)	BPGOR241410M.sorted Relative Abundance (%)	BPGOR251401.sorted Relative Abundance (%)	BPGOR251402.sorted Relative Abundance (%)	BPGOR251403.sorted Relative Abundance (%)	BPGOR251404.sorted Relative Abundance (%)	BPGOR251405.sorted Relative Abundance (%)	BPKAR240401.sorted Relative Abundance (%)	BPKAR240404.sorted Relative Abundance (%)	BPKAR240405.sorted Relative Abundance (%)	BPKAR240406.sorted Relative Abundance (%)	BPKAR240407.sorted Relative Abundance (%)	BPKAR250401.sorted Relative Abundance (%)	BPKAR250402.sorted Relative Abundance (%)	BPKAR250403.sorted Relative Abundance (%)	BPKAR250405.sorted Relative Abundance (%)	BPKAR250406.sorted Relative Abundance (%)	BPVAL240221.sorted Relative Abundance (%)	BPVAL240222.sorted Relative Abundance (%)	BPVAL240223.sorted Relative Abundance (%)	BPVAL240224.sorted Relative Abundance (%)	BPVAL240225.sorted Relative Abundance (%)	BPVAL250101.sorted Relative Abundance (%)	BPVAL250102.sorted Relative Abundance (%)	BPVAL250103.sorted Relative Abundance (%)	BPVAL250104.sorted Relative Abundance (%)	BPVAL250105.sorted Relative Abundance (%)	BPZEB240707M.sorted Relative Abundance (%)	BPZEB240709M.sorted Relative Abundance (%)	BPZEB240711M.sorted Relative Abundance (%)	BPZEB240712M.sorted Relative Abundance (%)	BPZEB240717M.sorted Relative Abundance (%)	BPZEB250701.sorted Relative Abundance (%)	BPZEB250702.sorted Relative Abundance (%)	BPZEB250703.sorted Relative Abundance (%)	BPZEB250704.sorted Relative Abundance (%)	BPZEB250705.sorted Relative Abundance (%)
unmapped	78.85663	29.936028	39.271088	53.058136	47.564346	54.1595	21.267302	19.936842	15.779728	25.771671	26.551712	21.21973	29.913187	36.16523	17.754532	17.201584	13.37462	16.16621	13.359392	29.693228	30.13618	97.423	100	95.52419	12.124843	43.393715	32.444336	39.04826	95.40981	75.62181	16.107677	25.87499	42.077553	27.999157	36.57609	70.09102	48.93467	15.265518	21.108263	58.04417	33.415802	75.54876	15.874738	25.983656	54.48195	48.920113	89.31918	48.078186	11.141175	37.388126	12.153584	11.445129	54.508053	100	53.217083	52.12432	32.440453	12.032348	82.703865	61.876762	26.092142	44.085876	64.47792	31.421703	14.835262	19.800615	10.646904	26.103735	16.785711	13.767028	13.655848	51.37162	80.341576	47.31526	15.750366	17.697674	85.3454	34.284855	84.08491	79.05364	48.818928	12.881458	71.784004	42.867397	45.838654	58.15275	65.13812	17.26476	15.008175	25.045092	26.666265	12.305355	18.011272
BPART241003.MAGScoT_cleanbin_000002	0	0	8.462359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPGOR251404.MAGScoT_cleanbin_000001	1.846063	15.079369	4.0289392	7.906318	17.878729	5.5456524	13.986392	19.787243	11.662741	13.464705	12.681347	19.03456	13.825299	12.440201	3.1704452	3.2866485	10.473199	18.236366	15.524052	11.422783	6.7545743	2.2265744	NaN	0	12.159246	7.2450857	7.278101	8.054345	0	10.481928	6.4970064	6.796408	8.273809	18.145967	26.96186	1.4668956	5.16629	5.953806	11.424487	15.12221	12.784698	5.8803205	13.28387	5.8181	4.988978	9.164319	1.3500744	7.1247134	1.9910452	7.464002	11.441549	11.788961	10.794063	NaN	1.5997564	2.0371246	24.386032	2.486036	6.816421	6.442039	9.7172365	36.90744	17.87487	12.556965	10.134599	1.4969074	7.612844	1.945693	8.641958	3.4661715	8.849668	5.6661143	1.9601862	16.984932	8.490279	18.545597	2.0055566	13.722045	0.8652815	0	4.462408	24.774406	0.24986352	1.2987586	3.4270947	8.887111	3.2338152	23.133566	7.843989	3.9488022	6.8061438	19.490623	15.184796
BPGOR241407M.MAGScoT_cleanbin_000001	5.050884	1.6188308	6.818758	7.535014	10.57392	4.0622897	21.454784	9.127572	8.419353	6.856549	1.936844	17.749887	12.180189	18.544031	8.969372	5.783995	11.090787	7.73406	5.2678576	6.423024	13.552127	0	NaN	0	9.597372	14.507716	30.593163	4.4245987	0	2.272351	27.406183	10.391411	27.9158	13.249987	12.599936	9.166751	10.152571	17.748106	14.152772	9.668863	8.840182	6.072625	40.94258	32.839775	1.232182	34.918095	5.91967	4.6545496	1.8021439	6.517403	8.184259	12.9906225	1.2840763	NaN	26.969967	12.9466505	8.847152	4.152853	1.5325589	9.531287	32.348965	4.416186	7.235283	22.624949	13.726719	14.329462	21.232475	22.27513	8.544458	12.409498	7.31147	12.111711	0.44100955	1.3436978	5.0318985	12.4172945	7.7686167	16.105776	3.286607	0	13.114641	8.988831	0	15.112632	9.579346	4.91772	10.513766	28.464964	10.080983	46.918587	34.759186	22.222092	17.509306
BPART251002.MAGScoT_cleanbin_000004	0.2363434	4.6717367	1.2608505	1.5269612	1.3363597	2.299348	3.5581582	3.4561386	3.2929907	2.6467376	2.1118257	0	4.239772	4.201462	2.0671937	3.9203992	1.0313661	0.77455235	1.0400573	0.9969476	1.8227578	0	NaN	0	0.7415801	2.6381571	0	0.76385325	0	0	0	3.5477433	1.6650422	3.367957	0	0.27125034	0	2.1004388	2.5231767	1.3348256	2.8063078	0	1.7083622	2.264007	2.3662462	0	0.4213414	2.0024488	0.89723873	1.6161395	3.3801367	0	2.162451	NaN	2.1275516	1.6309136	1.0929813	4.288859	0.31538865	0	1.3294399	0	0	1.1617283	1.9884506	3.436371	1.4298021	2.286121	2.1461036	2.264506	0	0	0.45169023	0.5983581	1.904297	4.2952046	0	1.442143	0	0	0	1.8671781	0	2.9174051	1.8580832	1.563888	0	5.1217	5.7471404	0.7792561	0	3.2770913	1.0824349
BPZEB240717M.MAGScoT_cleanbin_000001	4.3101993	27.61586	18.700605	17.114027	9.517356	21.548172	24.813978	29.31473	45.23513	28.212133	36.896812	9.607754	22.858414	11.450955	58.64573	50.492878	37.62547	43.715736	49.834927	32.128498	34.44674	0.35042384	NaN	0	9.333302	16.49264	16.256685	31.710518	2.1796992	1.7976953	34.065666	38.057426	2.1328957	14.10495	1.0146669	1.8028144	17.72567	41.846786	35.2172	4.5779257	24.114408	0.85535365	15.054657	21.164879	20.42225	0.6330041	1.1798605	25.26318	55.367836	30.831068	46.615696	43.471138	27.214628	NaN	13.400474	10.197557	16.566517	49.48736	2.1783082	7.8786564	17.493036	0.9136195	1.091057	23.758158	50.173874	45.26517	39.636208	32.765736	45.875908	54.20718	42.110374	8.742838	11.671634	18.30132	46.211372	25.09167	1.1300356	24.582972	4.4345384	0.60535103	15.446176	37.28879	0	24.380363	31.773834	10.884572	12.335475	9.796416	47.59908	3.9028125	10.093397	22.427471	29.072948
BPART251002.MAGScoT_cleanbin_000003	3.6589108	0.2615035	0.14902605	0	0.23137665	0	0.13359322	1.189673	0.58167166	2.0298264	0.47851205	1.2675489	0.17062275	0.35192358	0.18304704	0.70972097	0.056274664	0.081763804	0.06343732	3.1044831	0.097890705	0	NaN	0	0	0	0	0.24223113	0	0	0.19161846	0	0	0.29387122	0.12507711	0.118049346	0	0.1736517	0	0.40127522	0	0	0.13221979	0	0	0	0.10124189	0.08200961	0	0.067887165	0.053496063	0.03514684	0	NaN	0	0	0	0	0.36648452	0.8011366	0.2387004	0	0	0.13649613	0.031775653	0	0.03453036	0.06828321	0.996974	0.2596409	0	0.83718383	0	0.6039019	0.06305021	0.043753102	0.26473463	0.027551208	0.2438809	1.2118362	3.3565195	0.07688297	0.6807447	0	0	0	0	0	0.04234856	0	0	0	0
BPATZ241114.MAGScoT_cleanbin_000002	0	0.5229452	0	0.839556	1.5577976	0.69838506	0.9723213	1.2334348	0.19547671	1.385133	0.53327227	10.699644	2.2040377	0	0	0.106920734	0.6397324	0.1466284	0.4763673	0.085031524	0	0	NaN	0	4.4052014	0.10801837	0	0	0	0.88861114	0.79313135	0	8.817101	5.956522	0.33969852	12.205635	0.14126557	0	0.5079245	0	0.3692082	0.54863465	0.14629301	0.3289392	0.36202568	0	0	0	0	0.41193742	0.23412703	0.46023592	0	NaN	0	0.7608818	0.74531174	0	0.49275368	6.1811476	0	1.727648	0.91104615	0.6887183	0.4660083	0	0	0	0.077851824	0	1.814684	0	0	0.5918574	0	0	0	0.29557517	3.5470693	3.0562687	3.0656104	0	0.22348024	3.954739	0	0	0	1.5903517	0	6.8421774	0	0.95485294	0.5189016
BPART251002.MAGScoT_cleanbin_000006	2.2062702	0.391477	0.24448255	1.112514	0.33016786	0	0.2753755	0.79366416	0.39465052	1.3659035	0.31799984	0.75761163	0.27711943	0.24932429	0.10929048	0.3920489	0	0	0	1.6578022	0	0	NaN	0	0	0	0	0.3578083	2.4104865	0.7959067	0.26787907	0.4717155	0.18236254	0.45064154	0.21003142	0.17812645	0.028356494	0.23659192	0.053911064	0.6421731	0.52004856	0.026666157	0.21418884	0.19154473	0.32799146	0.46528536	0.16379167	0.10330229	0.112051204	0.11091126	0.0992467	0.05721881	0	NaN	0	0	0	0	0	0	0	0	0	0.24167156	0.052840143	0.077615775	0.058378972	0.13162258	0.5518877	0.1501634	0.077871345	0.8909748	0.09568987	0.82812536	0.11431155	0.07495322	0.39461866	0.044875167	0.18721871	0.7195023	1.9987028	0.11560699	0.42367905	0	0	0	0	0	0.07816009	0.15796779	0.2140088	0.137025	0.23560208
BPBIL240818M.MAGScoT_cleanbin_000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	31.959265	0	0	0	0	0	0	0	0	0	0	0	0	3.4842427	0	0	0	0.046343423	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
