Grupo	Funcion	Nivel_ponderado_pct
Agricola	Methanogenesis and methanotrophy: Key functional gene	0
Agricola	Methanogenesis and methanotrophy: acetate => methane, pt 1	3.5
Agricola	Methanogenesis and methanotrophy: acetate => methane, pt 2	100
Agricola	Methanogenesis and methanotrophy: acetate => methane, pt 3	11.8
Agricola	Methanogenesis and methanotrophy: dimethylamine => monomethylamine	0
Agricola	Methanogenesis and methanotrophy: methane => methanol, with oxygen (mmo)	0
Agricola	Methanogenesis and methanotrophy: methane => methanol, with oxygen (pmo)	0
Agricola	Methanogenesis and methanotrophy: methanol => methane	0
Agricola	Methanogenesis and methanotrophy: monomethylamine => ammonia	0
Agricola	Methanogenesis and methanotrophy: putative but not defining CO2 => methane	0
Agricola	Methanogenesis and methanotrophy: trimethylamine => dimethylamine	0
Agricola	Nitrogen metabolism: Bacterial (aerobic-specific) ammonia oxidation	0
Agricola	Nitrogen metabolism: Bacterial (anaerobic-specific) ammonia oxidation	0
Agricola	Nitrogen metabolism: Bacterial/Archaeal ammonia oxidation	0
Agricola	Nitrogen metabolism: Dissimilatory nitrite reduction to ammonia (DNRA)	0
Agricola	Nitrogen metabolism: Nitrogen fixation altennative	0
Agricola	Nitrogen metabolism: ammonia => nitrite	0
Agricola	Nitrogen metabolism: nitrate => nitrite	34.1
Agricola	Nitrogen metabolism: nitric oxide => nitrous oxide	0
Agricola	Nitrogen metabolism: nitrite => nitric oxide	29.4
Agricola	Nitrogen metabolism: nitrite=> nitrate	34.1
Agricola	Nitrogen metabolism: nitrogen => ammonia	0
Agricola	Nitrogen metabolism: nitrous oxide => nitrogen	0
Agricola	Other Reductases: TMAO reductase	0
Agricola	Other Reductases: arsenate reduction, pt 1	34.1
Agricola	Other Reductases: arsenate reduction, pt 2	0
Agricola	Other Reductases: mercury reduction	0
Agricola	Other Reductases: selenate/Chlorate reduction	0
Agricola	Photosynthesis: Photosystem I	0
Agricola	Photosynthesis: Photosystem II	0
Agricola	SCFA and alcohol conversions: Alcohol production	81.2
Agricola	SCFA and alcohol conversions: Butyrate, pt 1	0
Agricola	SCFA and alcohol conversions: Butyrate, pt 2	0
Agricola	SCFA and alcohol conversions: Propionate, pt 1	0
Agricola	SCFA and alcohol conversions: Propionate, pt 2	0
Agricola	SCFA and alcohol conversions: acetate, pt 1	100
Agricola	SCFA and alcohol conversions: acetate, pt 2	0
Agricola	SCFA and alcohol conversions: acetate, pt 3	0
Agricola	SCFA and alcohol conversions: lactate D	78.8
Agricola	SCFA and alcohol conversions: lactate L	67.1
Agricola	SCFA and alcohol conversions: pyruvate => acetyl CoA v1	67.1
