Especie	3-Hydroxypropionate bi-cycle	Acetyl-CoA pathway, CO2 => acetyl-CoA	Citrate cycle (TCA cycle, Krebs cycle)	Dicarboxylate-hydroxybutyrate cycle	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glyoxylate cycle	Hydroxypropionate-hydroxybutylate cycle	Methanogenesis, CO2 => methane	Pentose phosphate pathway (Pentose phosphate cycle)	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Reductive citrate cycle (Arnon-Buchanan cycle)	Reductive pentose phosphate cycle (Calvin cycle)	Complex I: NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	Complex I: NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Complex I: NADH:quinone oxidoreductase, prokaryotes	Complex II: Fumarate reductase, prokaryotes	Complex II: Succinate dehydrogenase (ubiquinone)	Complex II: Succinate dehydrogenase, prokaryotes	Complex III: Cytochrome bc1 complex	Complex III: Cytochrome bc1 complex respiratory unit	Complex III: Cytochrome bd ubiquinol oxidase	Complex IV High affinity: Cytochrome bd ubiquinol oxidase	Complex IV High affinity: Cytochrome c oxidase, cbb3-type	Complex IV Low affinity: Cytochrome aa3-600 menaquinol oxidase	Complex IV Low affinity: Cytochrome c oxidase	Complex IV Low affinity: Cytochrome c oxidase, prokaryotes	Complex IV Low affinity: Cytochrome o ubiquinol oxidase	Complex V: F-type ATPase, eukaryotes	Complex V: F-type ATPase, prokaryotes and chloroplasts	Complex V: V-type ATPase, eukaryotes	Complex V: V/A-type ATPase, prokaryotes
Saccharibacter sp.	0	0	0.25	0	1	0.7777777777777778	0.2	0	0	0.8571428571428571	0.14285714285714285	0	0.6363636363636364	0	0	0	0	0	0	0.3	1	0.6666666666666666	0.6666666666666666	0	0	0	0	0.5	0	0.875	0	0
Fructobacillus cardui	0	0	0	0.07692307692307693	0.5	0.6666666666666666	0	0	0	0.7142857142857143	0.14285714285714285	0.1	0.2727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.875	0	0
Microbacterium sp001619615	0	0	0.75	0.3076923076923077	0.75	0.8888888888888888	0.6	0	0.125	1	0	0.4	0.7272727272727273	0	0	0	0	0	1	0	1	0.6666666666666666	0.6666666666666666	0	0	0.13333333333333333	1	0	0	0.875	0	0
Xylocopilactobacillus indeterminado	0	0	0	0.07692307692307693	0.5	0.7777777777777778	0	0.07142857142857142	0	0.7142857142857143	0	0	0.2727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sediminibacterium sp902168225	0	0	0.75	0.38461538461538464	0.5	0.7777777777777778	0.2	0.21428571428571427	0.125	1	0.2857142857142857	0.7	0.7272727272727273	0	0	0.7692307692307693	0	0	0.75	0	0	0	0	1	0	0.13333333333333333	0.6666666666666666	0	0	0.875	0	0
Lactobacillus bombicola	0	0	0.125	0	0.5	0.7777777777777778	0	0	0	0.7142857142857143	0	0.1	0.3636363636363637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Snodgrassella communis	0	0	1	0.38461538461538464	0.25	0.6666666666666666	0.6	0.07142857142857142	0	0.8571428571428571	0.2857142857142857	0.6	0.7272727272727273	0	0	0.25	0	0	1	0	0	1	1	0	0	0.06666666666666667	0	1	0	0.75	0	0
Rahnella variigena	0	0	1	0.38461538461538464	0.75	1	0.8	0	0	1	0.2857142857142857	0.7	0.7272727272727273	0	0	1	1	0	1	0	0	1	1	0	0	0.06666666666666667	0	1	0	1	0	0
Pantoea agglomerans	0	0	0.75	0.3076923076923077	0.75	1	0.6	0	0	1	0.2857142857142857	0.5	0.6363636363636364	0.09090909090909093	0	0.9230769230769232	0	0	1	0	0	1	1	0	0	0	0	0.25	0	1	0	0
Fructobacillus tropaeoli	0	0	0	0.07692307692307693	0.5	0.6666666666666666	0	0	0	0.7142857142857143	0.14285714285714285	0.1	0.2727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.875	0	0
Entomomonas sp.	0	0	0.75	0.3076923076923077	0	0.7777777777777778	0.2	0.07142857142857142	0	0.7142857142857143	0.2857142857142857	0.6	0.6363636363636364	0	0	0.8461538461538461	0	0	0	0	0	0.6666666666666666	0.6666666666666666	0	0	0.06666666666666667	0	1	0	1	0	0
Pantoea trifolii	0	0	0.75	0.3076923076923077	0.25	0.8888888888888888	0.6	0	0	0.8571428571428571	0.14285714285714285	0.4	0.7272727272727273	0	0	0.6153846153846154	0	0	0.75	0	0	0.6666666666666666	0.6666666666666666	0	0	0	0	0	0	0.875	0	0
Gilliamella sp009795885	0	0	0.5	0.15384615384615383	1	1	0	0	0	1	0.2857142857142857	0.5	0.6363636363636364	0	0	0.09090909090909093	0.5	0	0	0	0	0.6666666666666666	0.6666666666666666	0	0	0	0	0	0	1	0	0
Gilliamella mensalis	0	0	0.5	0.15384615384615383	1	1	0	0	0	1	0.2857142857142857	0.5	0.6363636363636364	0	0	0.09090909090909093	0.5	0	0	0	0	0.6666666666666666	0.6666666666666666	0	0	0	0	0	0	1	0	0
Gilliamella bombicola	0	0	0.5	0.2307692307692308	1	1	0	0.07142857142857142	0	1	0.2857142857142857	0.5	0.6363636363636364	0	0	0.09090909090909093	0.5	0	0	0	0	0.6666666666666666	0.6666666666666666	0	0	0	0	0	0	1	0	0
Bombiscardovia coagulans	0	0	0.125	0	0.5	0.8888888888888888	0	0	0	1	0.14285714285714285	0	0.6363636363636364	0	0	0	0	0	0	0	0	0.6666666666666666	0.6666666666666666	0	0	0	0	0	0	0.875	0	0
Gilliamella apicola_H	0	0	0.375	0.15384615384615383	0.5	1	0	0	0	0.8571428571428571	0.2857142857142857	0.4	0.6363636363636364	0	0	0.09090909090909093	0.5	0	0	0	0	0.6666666666666666	0.6666666666666666	0	0	0	0	0	0	1	0	0
Snodgrassella alvi_B	0	0	1	0.38461538461538464	0.25	0.6666666666666666	0.6	0.07142857142857142	0	0.8571428571428571	0.2857142857142857	0.6	0.7272727272727273	0	0	1	0	0	1	0	0	1	1	0	0	0.06666666666666667	0	1	0	0.875	0	0
