Genero	3-Hydroxypropionate bi-cycle	Acetyl-CoA pathway, CO2 => acetyl-CoA	Citrate cycle (TCA cycle, Krebs cycle)	Dicarboxylate-hydroxybutyrate cycle	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glyoxylate cycle	Hydroxypropionate-hydroxybutylate cycle	Methanogenesis, CO2 => methane	Pentose phosphate pathway (Pentose phosphate cycle)	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Reductive citrate cycle (Arnon-Buchanan cycle)	Reductive pentose phosphate cycle (Calvin cycle)	Complex I: NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	Complex I: NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Complex I: NADH:quinone oxidoreductase, prokaryotes	Complex II: Fumarate reductase, prokaryotes	Complex II: Succinate dehydrogenase (ubiquinone)	Complex II: Succinate dehydrogenase, prokaryotes	Complex III: Cytochrome bc1 complex	Complex III: Cytochrome bc1 complex respiratory unit	Complex III: Cytochrome bd ubiquinol oxidase	Complex IV High affinity: Cytochrome bd ubiquinol oxidase	Complex IV High affinity: Cytochrome c oxidase, cbb3-type	Complex IV Low affinity: Cytochrome aa3-600 menaquinol oxidase	Complex IV Low affinity: Cytochrome c oxidase	Complex IV Low affinity: Cytochrome c oxidase, prokaryotes	Complex IV Low affinity: Cytochrome o ubiquinol oxidase	Complex V: F-type ATPase, eukaryotes	Complex V: F-type ATPase, prokaryotes and chloroplasts	Complex V: V-type ATPase, eukaryotes	Complex V: V/A-type ATPase, prokaryotes
Bombiscardovia	0	0	0.12	0	0.5	0.89	0	0	0	1	0.14	0	0.64	0	0	0	0	0	0	0	0	0.67	0.67	0	0	0	0	0	0	0.88	0	0
Entomomonas	0	0	0.75	0.31	0	0.78	0.2	0.07	0	0.71	0.29	0.6	0.64	0	0	0.85	0	0	0	0	0	0.67	0.67	0	0	0.07	0	1	0	1	0	0
Fructobacillus	0	0	0	0.08	0.5	0.67	0	0	0	0.71	0.14	0.1	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88	0	0
Gilliamella	0	0	0.47	0.17	0.88	1	0	0.02	0	0.96	0.29	0.48	0.64	0	0	0.09	0.5	0	0	0	0	0.67	0.67	0	0	0	0	0	0	1	0	0
Lactobacillus	0	0	0.06	0	0.38	0.61	0	0	0	0.64	0	0.05	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
Microbacterium	0	0	0.75	0.31	0.75	0.89	0.6	0	0.12	1	0	0.4	0.73	0	0	0	0	0	1	0	1	0.67	0.67	0	0	0.13	1	0	0	0.88	0	0
Pantoea	0	0	0.75	0.31	0.5	0.94	0.6	0	0	0.93	0.21	0.45	0.68	0.05	0	0.77	0	0	0.88	0	0	0.83	0.83	0	0	0	0	0.12	0	0.94	0	0
Rahnella	0	0	1	0.38	0.75	1	0.8	0	0	1	0.29	0.7	0.73	0	0	1	1	0	1	0	0	1	1	0	0	0.07	0	1	0	1	0	0
Saccharibacter	0	0	0.25	0	1	0.78	0.2	0	0	0.86	0.14	0	0.64	0	0	0	0	0	0	0.3	1	0.67	0.67	0	0	0	0	0.5	0	0.88	0	0
Sediminibacterium	0	0	0.75	0.38	0.5	0.78	0.2	0.21	0.12	1	0.29	0.7	0.73	0	0	0.77	0	0	0.75	0	0	0	0	1	0	0.13	0.67	0	0	0.88	0	0
Snodgrassella	0	0	1	0.38	0.25	0.67	0.6	0.07	0	0.86	0.29	0.6	0.73	0	0	0.75	0	0	1	0	0	1	1	0	0	0.07	0	1	0	0.83	0	0
Xylocopilactobacillus	0	0	0	0.08	0.5	0.78	0	0.07	0	0.71	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
