Habitat	Genero	Cantidad	Porcentaje
Agricola	Gilliamella	33	35.1
Agricola	Snodgrassella	29	30.9
Agricola	Bombiscardovia	13	13.8
Agricola	Xylocopilactobacillus	11	11.7
Agricola	Lactobacillus	4	4.3
Agricola	Microbacterium	3	3.2
Agricola	Klebsiella	1	1.1
Natural	Gilliamella	35	38
Natural	Snodgrassella	26	28.3
Natural	Bombiscardovia	13	14.1
Natural	Xylocopilactobacillus	8	8.7
Natural	Lactobacillus	4	4.3
Natural	Microbacterium	3	3.3
Natural	Fructobacillus	1	1.1
Natural	Saccharibacter	1	1.1
Natural	Sediminibacterium	1	1.1
Urbano	Gilliamella	25	36.2
Urbano	Snodgrassella	21	30.4
Urbano	Bombiscardovia	8	11.6
Urbano	Lactobacillus	5	7.2
Urbano	Xylocopilactobacillus	3	4.3
Urbano	Pantoea	2	2.9
Urbano	Entomomonas	1	1.4
Urbano	Fructobacillus	1	1.4
Urbano	Rahnella	1	1.4
Urbano	Rickettsia	1	1.4
Urbano	Rosenbergiella	1	1.4
