Habitat	Genero	Cantidad	Porcentaje
Agricola	Snodgrassella	29	34.5
Agricola	Gilliamella	26	31
Agricola	Bombiscardovia	12	14.3
Agricola	Xylocopilactobacillus	10	11.9
Agricola	Lactobacillus	3	3.6
Agricola	Microbacterium	3	3.6
Agricola	Klebsiella	1	1.2
Natural	Gilliamella	26	31.7
Natural	Snodgrassella	26	31.7
Natural	Bombiscardovia	13	15.9
Natural	Xylocopilactobacillus	7	8.5
Natural	Lactobacillus	4	4.9
Natural	Microbacterium	3	3.7
Natural	Fructobacillus	1	1.2
Natural	Saccharibacter	1	1.2
Natural	Sediminibacterium	1	1.2
Urbano	Snodgrassella	21	33.9
Urbano	Gilliamella	19	30.6
Urbano	Bombiscardovia	8	12.9
Urbano	Lactobacillus	4	6.5
Urbano	Xylocopilactobacillus	3	4.8
Urbano	Pantoea	2	3.2
Urbano	Entomomonas	1	1.6
Urbano	Fructobacillus	1	1.6
Urbano	Rahnella	1	1.6
Urbano	Rickettsia	1	1.6
Urbano	Rosenbergiella	1	1.6
