Provincia	Genero	Cantidad	Porcentaje
Araba	Gilliamella	31	37.8
Araba	Snodgrassella	27	32.9
Araba	Bombiscardovia	12	14.6
Araba	Xylocopilactobacillus	7	8.5
Araba	Lactobacillus	3	3.7
Araba	Microbacterium	2	2.4
Bizkaia	Snodgrassella	21	36.2
Bizkaia	Gilliamella	20	34.5
Bizkaia	Bombiscardovia	6	10.3
Bizkaia	Xylocopilactobacillus	5	8.6
Bizkaia	Lactobacillus	3	5.2
Bizkaia	Pantoea	1	1.7
Bizkaia	Rahnella	1	1.7
Bizkaia	Rickettsia	1	1.7
Gipuzkoa	Snodgrassella	28	31.8
Gipuzkoa	Gilliamella	20	22.7
Gipuzkoa	Bombiscardovia	15	17
Gipuzkoa	Xylocopilactobacillus	8	9.1
Gipuzkoa	Lactobacillus	5	5.7
Gipuzkoa	Microbacterium	4	4.5
Gipuzkoa	Fructobacillus	2	2.3
Gipuzkoa	Entomomonas	1	1.1
Gipuzkoa	Klebsiella	1	1.1
Gipuzkoa	Pantoea	1	1.1
Gipuzkoa	Rosenbergiella	1	1.1
Gipuzkoa	Saccharibacter	1	1.1
Gipuzkoa	Sediminibacterium	1	1.1
