Habitat	Especie_final	Cantidad	Porcentaje
Agricola	Snodgrassella gandavensis	28	29.8
Agricola	Gilliamella mensalis	18	19.1
Agricola	Bombiscardovia coagulans	12	12.8
Agricola	Xylocopilactobacillus indeterminado	11	11.7
Agricola	Gilliamella bombicola	8	8.5
Agricola	Gilliamella sp009795885	6	6.4
Agricola	Lactobacillus bombicola	4	4.3
Agricola	Microbacterium sp001619615	3	3.2
Agricola	Bombiscardovia sp.	1	1.1
Agricola	Gilliamella sp.	1	1.1
Agricola	Klebsiella aerogenes	1	1.1
Agricola	Snodgrassella communis	1	1.1
Natural	Snodgrassella gandavensis	24	26.1
Natural	Gilliamella bombicola	16	17.4
Natural	Bombiscardovia coagulans	13	14.1
Natural	Gilliamella mensalis	12	13
Natural	Xylocopilactobacillus indeterminado	8	8.7
Natural	Gilliamella sp009795885	5	5.4
Natural	Lactobacillus bombicola	4	4.3
Natural	Microbacterium sp001619615	3	3.3
Natural	Gilliamella apicola_H	2	2.2
Natural	Snodgrassella alvi_B	2	2.2
Natural	Fructobacillus cardui	1	1.1
Natural	Saccharibacter sp.	1	1.1
Natural	Sediminibacterium sp902168225	1	1.1
Urbano	Snodgrassella gandavensis	20	29
Urbano	Gilliamella mensalis	13	18.8
Urbano	Gilliamella bombicola	9	13
Urbano	Bombiscardovia coagulans	8	11.6
Urbano	Lactobacillus bombicola	4	5.8
Urbano	Gilliamella sp009795885	3	4.3
Urbano	Xylocopilactobacillus indeterminado	3	4.3
Urbano	Entomomonas sp.	1	1.4
Urbano	Fructobacillus tropaeoli	1	1.4
Urbano	Lactobacillus sp.	1	1.4
Urbano	Pantoea agglomerans	1	1.4
Urbano	Pantoea trifolii	1	1.4
Urbano	Rahnella variigena	1	1.4
Urbano	Rickettsia sp.	1	1.4
Urbano	Rosenbergiella nectarea	1	1.4
Urbano	Snodgrassella communis	1	1.4
