Habitat	Especie_final	Cantidad	Porcentaje
Agricola	Snodgrassella gandavensis	28	33.3
Agricola	Gilliamella mensalis	16	19
Agricola	Bombiscardovia coagulans	12	14.3
Agricola	Xylocopilactobacillus indeterminado	10	11.9
Agricola	Gilliamella bombicola	5	6
Agricola	Gilliamella sp009795885	4	4.8
Agricola	Lactobacillus bombicola	3	3.6
Agricola	Microbacterium sp001619615	3	3.6
Agricola	Gilliamella sp.	1	1.2
Agricola	Klebsiella aerogenes	1	1.2
Agricola	Snodgrassella communis	1	1.2
Natural	Snodgrassella gandavensis	24	29.3
Natural	Bombiscardovia coagulans	13	15.9
Natural	Gilliamella bombicola	11	13.4
Natural	Gilliamella mensalis	8	9.8
Natural	Xylocopilactobacillus indeterminado	7	8.5
Natural	Gilliamella sp009795885	5	6.1
Natural	Lactobacillus bombicola	4	4.9
Natural	Microbacterium sp001619615	3	3.7
Natural	Gilliamella apicola_H	2	2.4
Natural	Snodgrassella alvi_B	2	2.4
Natural	Fructobacillus cardui	1	1.2
Natural	Saccharibacter sp.	1	1.2
Natural	Sediminibacterium sp902168225	1	1.2
Urbano	Snodgrassella gandavensis	20	32.3
Urbano	Gilliamella mensalis	13	21
Urbano	Bombiscardovia coagulans	8	12.9
Urbano	Lactobacillus bombicola	4	6.5
Urbano	Gilliamella bombicola	3	4.8
Urbano	Gilliamella sp009795885	3	4.8
Urbano	Xylocopilactobacillus indeterminado	3	4.8
Urbano	Entomomonas sp.	1	1.6
Urbano	Fructobacillus tropaeoli	1	1.6
Urbano	Pantoea agglomerans	1	1.6
Urbano	Pantoea trifolii	1	1.6
Urbano	Rahnella variigena	1	1.6
Urbano	Rickettsia sp.	1	1.6
Urbano	Rosenbergiella nectarea	1	1.6
Urbano	Snodgrassella communis	1	1.6
