Provincia	Especie_final	Cantidad	Porcentaje
Araba	Snodgrassella gandavensis	24	29.3
Araba	Gilliamella mensalis	15	18.3
Araba	Bombiscardovia coagulans	12	14.6
Araba	Gilliamella bombicola	8	9.8
Araba	Xylocopilactobacillus indeterminado	7	8.5
Araba	Gilliamella sp009795885	6	7.3
Araba	Lactobacillus bombicola	3	3.7
Araba	Gilliamella apicola_H	2	2.4
Araba	Microbacterium sp001619615	2	2.4
Araba	Snodgrassella alvi_B	2	2.4
Araba	Snodgrassella communis	1	1.2
Bizkaia	Snodgrassella gandavensis	21	36.2
Bizkaia	Gilliamella mensalis	11	19
Bizkaia	Bombiscardovia coagulans	6	10.3
Bizkaia	Gilliamella bombicola	5	8.6
Bizkaia	Xylocopilactobacillus indeterminado	5	8.6
Bizkaia	Gilliamella sp009795885	3	5.2
Bizkaia	Lactobacillus bombicola	3	5.2
Bizkaia	Gilliamella sp.	1	1.7
Bizkaia	Pantoea agglomerans	1	1.7
Bizkaia	Rahnella variigena	1	1.7
Bizkaia	Rickettsia sp.	1	1.7
Gipuzkoa	Snodgrassella gandavensis	27	30.7
Gipuzkoa	Bombiscardovia coagulans	15	17
Gipuzkoa	Gilliamella mensalis	11	12.5
Gipuzkoa	Xylocopilactobacillus indeterminado	8	9.1
Gipuzkoa	Gilliamella bombicola	6	6.8
Gipuzkoa	Lactobacillus bombicola	5	5.7
Gipuzkoa	Microbacterium sp001619615	4	4.5
Gipuzkoa	Gilliamella sp009795885	3	3.4
Gipuzkoa	Entomomonas sp.	1	1.1
Gipuzkoa	Fructobacillus cardui	1	1.1
Gipuzkoa	Fructobacillus tropaeoli	1	1.1
Gipuzkoa	Klebsiella aerogenes	1	1.1
Gipuzkoa	Pantoea trifolii	1	1.1
Gipuzkoa	Rosenbergiella nectarea	1	1.1
Gipuzkoa	Saccharibacter sp.	1	1.1
Gipuzkoa	Sediminibacterium sp902168225	1	1.1
Gipuzkoa	Snodgrassella communis	1	1.1
