user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
BPART241001__BPART241001.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	GCF_900103085.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella mensalis	98.97	0.859	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900103255.1, s__Gilliamella bombi, 95.0, 89.27, 0.231; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 88.4, 0.154; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 89.17, 0.223; GCF_900094935.1, s__Gilliamella intestini, 95.23, 88.63, 0.178; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 91.17, 0.436; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 94.84, 0.607; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 91.67, 0.448; GCF_900094945.1, s__Gilliamella bombicola, 95.0, 93.71, 0.42; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 88.71, 0.178	N/A	N/A	N/A	N/A
BPART241001__BPART241001.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.92	0.559	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_914768045.1, s__Snodgrassella communis, 95.0, 92.07, 0.182; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 91.59, 0.179; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 95.08, 0.393; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 93.81, 0.33	N/A	N/A	N/A	N/A
BPART241002__BPART241002.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.89	0.929	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.12, 0.775; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.53, 0.599; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.66, 0.602; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 92.27, 0.728	N/A	N/A	N/A	N/A
BPART241002__BPART241002.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	GCF_900094945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola	98.96	0.819	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900103085.1, s__Gilliamella mensalis, 95.0, 93.26, 0.482; GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 87.83, 0.215; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 87.17, 0.24; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 87.48, 0.221; GCF_900103255.1, s__Gilliamella bombi, 95.0, 88.14, 0.219; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.92, 0.35; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 90.7, 0.38; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 87.57, 0.241; GCF_009795885.1, s__Gilliamella sp009795885, 95.0, 94.18, 0.482; GCF_900094935.1, s__Gilliamella intestini, 95.23, 87.59, 0.223	N/A	N/A	N/A	N/A
BPART241002__BPART241002.MAGScoT_cleanbin_000003	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	GCF_002259585.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bombiscardovia;s__Bombiscardovia coagulans	98.92	0.916	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
BPART241003__BPART241003.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.89	0.922	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.46, 0.595; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.0, 0.8; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 92.45, 0.756; GCF_914768045.1, s__Snodgrassella communis, 95.0, 88.84, 0.588; GCF_000600005.1, s__Snodgrassella alvi, 95.0, 82.41, 0.156	N/A	N/A	N/A	N/A
BPART241003__BPART241003.MAGScoT_cleanbin_000002	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Saccharibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Saccharibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.18	11	0.99951	N/A
BPART241003__BPART241003.MAGScoT_cleanbin_000003	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella sp009795885	GCF_009795885.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Orbaceae;g__Gilliamella;s__Gilliamella sp009795885	98.65	0.839	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001690595.1, s__Gilliamella apicola_M, 95.0, 86.32, 0.253; GCF_001690275.1, s__Gilliamella apicola_C, 95.0, 85.43, 0.205; GCF_900103085.1, s__Gilliamella mensalis, 95.0, 93.54, 0.661; GCF_900103255.1, s__Gilliamella bombi, 95.0, 86.57, 0.323; GCF_001690495.1, s__Gilliamella apicola_G, 95.0, 89.92, 0.516; GCF_009795805.1, s__Gilliamella sp009795805, 95.0, 85.17, 0.224; GCF_001690525.1, s__Gilliamella apicola_H, 95.0, 93.7, 0.663; GCF_900094945.1, s__Gilliamella bombicola, 95.0, 91.66, 0.519; GCF_900094935.1, s__Gilliamella intestini, 95.23, 85.95, 0.251; GCF_001690655.1, s__Gilliamella apicola_P, 95.0, 86.18, 0.313; GCF_009795845.1, s__Gilliamella sp009795845, 95.0, 85.57, 0.222	N/A	N/A	N/A	N/A
BPART241004__BPART241004.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.97	0.851	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 91.32, 0.288; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 93.81, 0.528; GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.96, 0.626; GCF_914768045.1, s__Snodgrassella communis, 95.0, 91.78, 0.287	N/A	N/A	N/A	N/A
BPART241006__BPART241006.MAGScoT_cleanbin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	GCF_914768025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella gandavensis	98.96	0.939	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002777425.1, s__Snodgrassella alvi_B, 95.0, 94.42, 0.801; GCF_002777745.1, s__Snodgrassella alvi_D, 95.0, 88.85, 0.591; GCF_000600005.1, s__Snodgrassella alvi, 95.0, 82.71, 0.152; GCF_914768045.1, s__Snodgrassella communis, 95.0, 89.19, 0.577; GCA_002777825.1, s__Snodgrassella alvi_C, 95.0, 92.69, 0.751	N/A	N/A	N/A	N/A
