Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Categoria
BPART241001.MAGScoT_cleanbin_000001	81.08	3.76	Neural Network (Specific Model)	11	0.88	3079	253.7308362369338	1982447	0.36	2296	723	22558	None	Calidad media
BPART241001.MAGScoT_cleanbin_000002	66.02	2.76	Gradient Boost (General Model)	11	0.693	2206	208.19849357554276	2028630	0.45	2257	927	45323	None	Calidad media
BPART241002.MAGScoT_cleanbin_000003	61.17	0.01	Neural Network (Specific Model)	11	0.867	2118	247.38716981132075	1131301	0.48	1325	565	9330	None	Calidad media
BPART241004.MAGScoT_cleanbin_000001	61.79	4.27	Neural Network (Specific Model)	11	0.836	1993	229.50202898550725	1417784	0.46	1725	753	8613	None	Calidad media
BPART241017M.MAGScoT_cleanbin_000004	82.21	5.81	Neural Network (Specific Model)	11	0.807	10292	281.85769046478197	2183299	0.36	2087	358	35479	None	Calidad media
BPART241017M.MAGScoT_cleanbin_000006	74.1	8.42	Neural Network (Specific Model)	11	0.866	10055	280.934649122807	2215903	0.36	2280	329	49085	None	Calidad media
BPART251002.MAGScoT_cleanbin_000007	85.35	5.63	Neural Network (Specific Model)	11	0.861	9860	279.44191144234986	2218782	0.36	2281	366	60214	None	Calidad media
BPART251002.MAGScoT_cleanbin_000008	73.27	4.17	Neural Network (Specific Model)	11	0.85	5963	252.84180543382996	2031611	0.35	2282	483	39955	None	Calidad media
BPART251002.MAGScoT_cleanbin_000009	56.51	4.26	Neural Network (Specific Model)	11	0.839	5671	252.93713681986264	1709124	0.35	1893	400	39493	None	Calidad media
BPART251004.MAGScoT_cleanbin_000005	68.43	3.76	Gradient Boost (General Model)	11	0.917	2302	230.57271448663855	2675703	0.7	3555	1248	41519	None	Calidad media
BPART251005.MAGScoT_cleanbin_000003	84.28	6.57	Gradient Boost (General Model)	11	0.59	1902	127.89729299363056	8101536	0.33	12560	4450	9706	None	Calidad media
BPATZ241116.MAGScoT_cleanbin_000002	86.12	0.56	Neural Network (Specific Model)	11	0.877	63169	306.8051181102362	1596111	0.34	1524	44	154080	None	Calidad media
BPATZ241117.MAGScoT_cleanbin_000003	99.99	6.21	Neural Network (Specific Model)	11	0.865	12779	287.66104800293147	2717775	0.36	2729	405	195375	None	Calidad media
BPATZ241118.MAGScoT_cleanbin_000003	93.92	7.78	Neural Network (Specific Model)	11	0.843	5682	257.8230690711126	2693846	0.35	2939	658	30122	None	Calidad media
BPATZ241118.MAGScoT_cleanbin_000004	70.6	3.05	Gradient Boost (General Model)	11	0.815	1941	222.76594623089088	3104697	0.66	3794	1661	36901	None	Calidad media
BPATZ241118.MAGScoT_cleanbin_000005	65.88	4.92	Neural Network (Specific Model)	11	0.829	6547	253.48716814159292	2070299	0.36	2260	591	34907	None	Calidad media
BPATZ251101.MAGScoT_cleanbin_000003	74.02	8.47	Gradient Boost (General Model)	11	0.792	2087	239.53028747433265	1763197	0.46	1948	884	21213	None	Calidad media
BPATZ251103.MAGScoT_cleanbin_000003	78.2	4.06	Gradient Boost (General Model)	11	0.851	3146	263.8015364916773	1451031	0.48	1562	512	23707	None	Calidad media
BPATZ251104.MAGScoT_cleanbin_000002	89.73	2.29	Neural Network (Specific Model)	11	0.915	5461	267.6496294403271	3425785	0.7	3913	830	67170	None	Calidad media
BPATZ251104.MAGScoT_cleanbin_000003	70.56	2.87	Neural Network (Specific Model)	11	0.891	2244	231.32016232379328	3639203	0.56	4682	1740	18544	None	Calidad media
BPATZ251105.MAGScoT_cleanbin_000001	100	5.84	Neural Network (Specific Model)	11	0.824	55480	288.9784517158819	2633354	0.44	2506	166	161463	None	Calidad media
BPATZ251105.MAGScoT_cleanbin_000002	78.76	9.02	Neural Network (Specific Model)	11	0.81	4596	253.52404965089215	2415522	0.36	2578	682	27887	None	Calidad media
BPBIL240820M.MAGScoT_cleanbin_000004	74.7	5.52	Neural Network (Specific Model)	11	0.753	2539	182.4228007181329	1612315	0.33	2228	709	12763	None	Calidad media
