Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Categoria
BPART241002.MAGScoT_cleanbin_000001	100	0.18	Neural Network (Specific Model)	11	0.826	44815	298.1954954954955	2401900	0.44	2220	81	128122	None	Alta calidad
BPART241003.MAGScoT_cleanbin_000001	100	0.09	Neural Network (Specific Model)	11	0.829	43974	299.92349726775956	2378716	0.44	2196	81	164816	None	Alta calidad
BPART241003.MAGScoT_cleanbin_000002	92.62	1.57	Neural Network (Specific Model)	11	0.905	5686	276.3018509729473	1926172	0.51	2107	427	29682	None	Alta calidad
BPART241003.MAGScoT_cleanbin_000003	92.61	2.26	Neural Network (Specific Model)	11	0.855	12188	287.99403578528825	2537057	0.35	2515	291	55449	None	Alta calidad
BPART241006.MAGScoT_cleanbin_000001	100	0.18	Neural Network (Specific Model)	11	0.834	18104	295.83806421591436	2282906	0.45	2149	185	100438	None	Alta calidad
BPART241017M.MAGScoT_cleanbin_000001	100	0.14	Neural Network (Specific Model)	11	0.819	149581	294.96417781614156	2499279	0.44	2317	64	419085	None	Alta calidad
BPART241017M.MAGScoT_cleanbin_000002	93.4	0.49	Neural Network (Specific Model)	11	0.877	33224	282.06019417475727	1488635	0.44	1545	69	70170	None	Alta calidad
BPART241017M.MAGScoT_cleanbin_000003	99.9	3.98	Gradient Boost (General Model)	11	0.783	5482	269.77070328755724	2478977	0.47	2403	788	35197	None	Alta calidad
BPART251001.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.824	61766	299.63003165988243	2408291	0.44	2211	66	215148	None	Alta calidad
BPART251002.MAGScoT_cleanbin_000001	100	0.08	Neural Network (Specific Model)	11	0.825	101609	295.6325991189427	2436886	0.44	2270	71	186195	None	Alta calidad
BPART251002.MAGScoT_cleanbin_000002	99.71	0.06	Neural Network (Specific Model)	11	0.88	57104	300.2925877763329	1571693	0.35	1538	45	185927	None	Alta calidad
BPART251002.MAGScoT_cleanbin_000003	99.89	0	Neural Network (Specific Model)	11	0.919	181151	324.39757207890744	3482493	0.71	3295	35	405015	None	Alta calidad
BPART251002.MAGScoT_cleanbin_000004	98.37	0.09	Gradient Boost (General Model)	11	0.873	285780	307.13700305810397	1720719	0.33	1635	31	357545	None	Alta calidad
BPART251002.MAGScoT_cleanbin_000005	99.14	0.09	Neural Network (Specific Model)	11	0.878	414952	355.905701754386	1661597	0.47	1368	8	542547	None	Alta calidad
BPART251002.MAGScoT_cleanbin_000006	99.29	0.35	Gradient Boost (General Model)	11	0.939	14774	320.6564226519337	2961531	0.37	2896	305	50018	None	Alta calidad
BPART251003.MAGScoT_cleanbin_000001	100	0.41	Neural Network (Specific Model)	11	0.822	35551	292.82478260869567	2453035	0.44	2300	131	118486	None	Alta calidad
BPART251003.MAGScoT_cleanbin_000002	98.6	0.4	Gradient Boost (General Model)	11	0.877	30418	298.1206030150754	1620024	0.34	1592	95	80319	None	Alta calidad
BPART251003.MAGScoT_cleanbin_000003	94.2	1.35	Neural Network (Specific Model)	11	0.877	8651	317.64484679665736	1558937	0.47	1436	249	37872	None	Alta calidad
BPART251004.MAGScoT_cleanbin_000001	100	0.11	Neural Network (Specific Model)	11	0.822	63394	295.8763996554694	2504024	0.44	2322	85	164044	None	Alta calidad
BPART251004.MAGScoT_cleanbin_000002	99.7	0.07	Neural Network (Specific Model)	11	0.879	905077	361.07515337423314	1605575	0.47	1304	8	905077	None	Alta calidad
BPART251005.MAGScoT_cleanbin_000001	100	0.1	Neural Network (Specific Model)	11	0.82	95761	292.43043844856663	2534609	0.44	2372	60	218122	None	Alta calidad
BPART251005.MAGScoT_cleanbin_000002	94.54	1.6	Neural Network (Specific Model)	11	0.853	16459	315.472915398661	1819565	0.47	1643	201	93519	None	Alta calidad
