Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Categoria
BPART241002.MAGScoT_cleanbin_000002	88.18	16.08	Neural Network (Specific Model)	11	0.827	5465	263.7069692058347	2945519	0.37	3085	661	63154	None	Rejects
BPART241006.MAGScoT_cleanbin_000002	86.72	23.98	Neural Network (Specific Model)	11	0.821	5876	274.251837524178	2586075	0.37	2585	654	32760	None	Rejects
BPART251001.MAGScoT_cleanbin_000002	100	46.18	Neural Network (Specific Model)	11	0.83	9460	278.632576845734	3501089	0.36	3481	588	47042	None	Rejects
BPART251003.MAGScoT_cleanbin_000004	84.14	21.69	Neural Network (Specific Model)	11	0.862	4781	265.9202268431002	2445303	0.36	2645	676	60181	None	Rejects
BPART251004.MAGScoT_cleanbin_000003	87.17	24.09	Gradient Boost (General Model)	11	0.892	2278	227.82441860465116	1971590	0.35	2580	928	18350	None	Rejects
BPART251004.MAGScoT_cleanbin_000004	92.9	31.36	Neural Network (Specific Model)	11	0.834	5518	259.9202706678435	3171305	0.36	3399	844	46869	None	Rejects
BPART251005.MAGScoT_cleanbin_000004	89.18	73.48	Neural Network (Specific Model)	11	0.847	11538	282.3693867696765	4137655	0.36	4142	524	75709	None	Rejects
BPATZ241114.MAGScoT_cleanbin_000004	99.61	59.64	Neural Network (Specific Model)	11	0.857	6724	263.6731943567067	4376256	0.36	4749	953	60217	None	Rejects
BPATZ241115.MAGScoT_cleanbin_000002	90.55	52.35	Neural Network (Specific Model)	11	0.842	8628	278.1076999257242	3998263	0.36	4039	611	57390	None	Rejects
BPATZ241115.MAGScoT_cleanbin_000003	72.33	17.07	Gradient Boost (General Model)	11	0.837	1626	215.74694873881205	1895150	0.42	2458	1165	7257	None	Rejects
BPATZ251102.MAGScoT_cleanbin_000002	85.18	15.28	Neural Network (Specific Model)	11	0.848	5782	265.1228906823184	2552814	0.36	2726	642	30865	None	Rejects
BPBIL240818M.MAGScoT_cleanbin_000006	74.42	23.53	Gradient Boost (General Model)	11	0.853	7814	283.66008316008316	1917700	0.37	1924	377	39497	None	Rejects
BPBIL240820M.MAGScoT_cleanbin_000006	92.21	43.78	Neural Network (Specific Model)	11	0.861	7037	268.04289479990416	3891638	0.36	4173	773	39828	None	Rejects
BPDON240902.MAGScoT_cleanbin_000002	75.75	18.15	Neural Network (Specific Model)	11	0.823	7792	278.27291494632533	2454770	0.36	2422	483	60381	None	Rejects
BPDON240902.MAGScoT_cleanbin_000003	82.42	22.97	Gradient Boost (General Model)	11	0.824	1596	206.66526093832368	2847070	0.38	3794	1778	8515	None	Rejects
BPDON250903.MAGScoT_cleanbin_000001	93.44	34.33	Neural Network (Specific Model)	11	0.844	2051	227.47715223428423	3196464	0.37	3961	1650	12245	None	Rejects
BPDON250904.MAGScoT_cleanbin_000002	86.33	27.95	Neural Network (Specific Model)	11	0.815	2101	220.25893474752132	3507963	0.36	4337	1759	23838	None	Rejects
BPGAS250904.MAGScoT_cleanbin_000005	71.89	16.45	Neural Network (Specific Model)	11	0.866	5421	272.0232793522267	1859036	0.37	1976	490	30571	None	Rejects
BPGOR241408M.MAGScoT_cleanbin_000002	99.99	59.26	Neural Network (Specific Model)	11	0.825	7902	260.45546518547906	4766972	0.35	5041	945	196355	None	Rejects
BPGOR251403.MAGScoT_cleanbin_000002	94.65	23.81	Neural Network (Specific Model)	11	0.834	9968	280.3739208097648	3381776	0.36	3359	544	75394	None	Rejects
BPKAR240406.MAGScoT_cleanbin_000002	93.15	28.84	Gradient Boost (General Model)	11	0.807	4689	251.38503440366972	3253229	0.35	3488	962	60162	None	Rejects
BPKAR240407.MAGScoT_cleanbin_000003	86.48	29.85	Gradient Boost (General Model)	11	0.781	4082	234.8700134468848	4017327	0.36	4462	1325	41067	None	Rejects
BPKAR250403.MAGScoT_cleanbin_000003	86.37	37.82	Neural Network (Specific Model)	11	0.844	4817	252.94229804315103	3576778	0.37	3986	1017	46947	None	Rejects
BPKAR250403.MAGScoT_cleanbin_000004	84.09	48.51	Gradient Boost (General Model)	11	0.818	4156	232.70420362514463	4417677	0.34	5186	1435	34883	None	Rejects
BPVAL250104.MAGScoT_cleanbin_000004	84.67	41.71	Neural Network (Specific Model)	11	0.83	3277	235.91249269148315	4367958	0.35	5131	1607	195587	None	Rejects
BPZEB250704.MAGScoT_cleanbin_000003	82.09	17.93	Gradient Boost (General Model)	11	0.821	2674	224.36553524804177	3132969	0.34	3830	1339	22656	None	Rejects
BPZEB250704.MAGScoT_cleanbin_000004	80.09	18.77	Gradient Boost (General Model)	11	0.881	5752	275.0022532672375	2075729	0.37	2219	503	26533	None	Rejects
