Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Categoria	Organismo	Localizacion	Anio	CodigoMuestra	Sufijo	BinID	Locality	Provincia	Habitat
BPART241001.MAGScoT_cleanbin_000001	81.08	3.76	Neural Network (Specific Model)	11	0.88	3079	253.7308362369338	1982447	0.36	2296	723	22558	None	Calidad media	B	ART	2024	1001		MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART241001.MAGScoT_cleanbin_000002	66.02	2.76	Gradient Boost (General Model)	11	0.693	2206	208.19849357554276	2028630	0.45	2257	927	45323	None	Calidad media	B	ART	2024	1001		MAGScoT_cleanbin_000002	Artikutza	Guipuzcoa	Natural
BPART241002.MAGScoT_cleanbin_000001	100	0.18	Neural Network (Specific Model)	11	0.826	44815	298.1954954954955	2401900	0.44	2220	81	128122	None	Alta calidad	B	ART	2024	1002		MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART241002.MAGScoT_cleanbin_000002	88.18	16.08	Neural Network (Specific Model)	11	0.827	5465	263.7069692058347	2945519	0.37	3085	661	63154	None	Rejects	B	ART	2024	1002		MAGScoT_cleanbin_000002	Artikutza	Guipuzcoa	Natural
BPART241002.MAGScoT_cleanbin_000003	61.17	0.01	Neural Network (Specific Model)	11	0.867	2118	247.38716981132075	1131301	0.48	1325	565	9330	None	Calidad media	B	ART	2024	1002		MAGScoT_cleanbin_000003	Artikutza	Guipuzcoa	Natural
BPART241003.MAGScoT_cleanbin_000001	100	0.09	Neural Network (Specific Model)	11	0.829	43974	299.92349726775956	2378716	0.44	2196	81	164816	None	Alta calidad	B	ART	2024	1003		MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART241003.MAGScoT_cleanbin_000002	92.62	1.57	Neural Network (Specific Model)	11	0.905	5686	276.3018509729473	1926172	0.51	2107	427	29682	None	Alta calidad	B	ART	2024	1003		MAGScoT_cleanbin_000002	Artikutza	Guipuzcoa	Natural
BPART241003.MAGScoT_cleanbin_000003	92.61	2.26	Neural Network (Specific Model)	11	0.855	12188	287.99403578528825	2537057	0.35	2515	291	55449	None	Alta calidad	B	ART	2024	1003		MAGScoT_cleanbin_000003	Artikutza	Guipuzcoa	Natural
BPART241004.MAGScoT_cleanbin_000001	61.79	4.27	Neural Network (Specific Model)	11	0.836	1993	229.50202898550725	1417784	0.46	1725	753	8613	None	Calidad media	B	ART	2024	1004		MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART241006.MAGScoT_cleanbin_000001	100	0.18	Neural Network (Specific Model)	11	0.834	18104	295.83806421591436	2282906	0.45	2149	185	100438	None	Alta calidad	B	ART	2024	1006		MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART241006.MAGScoT_cleanbin_000002	86.72	23.98	Neural Network (Specific Model)	11	0.821	5876	274.251837524178	2586075	0.37	2585	654	32760	None	Rejects	B	ART	2024	1006		MAGScoT_cleanbin_000002	Artikutza	Guipuzcoa	Natural
BPART241017M.MAGScoT_cleanbin_000001	100	0.14	Neural Network (Specific Model)	11	0.819	149581	294.96417781614156	2499279	0.44	2317	64	419085	None	Alta calidad	B	ART	2024	1017	M	MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART241017M.MAGScoT_cleanbin_000002	93.4	0.49	Neural Network (Specific Model)	11	0.877	33224	282.06019417475727	1488635	0.44	1545	69	70170	None	Alta calidad	B	ART	2024	1017	M	MAGScoT_cleanbin_000002	Artikutza	Guipuzcoa	Natural
BPART241017M.MAGScoT_cleanbin_000003	99.9	3.98	Gradient Boost (General Model)	11	0.783	5482	269.77070328755724	2478977	0.47	2403	788	35197	None	Alta calidad	B	ART	2024	1017	M	MAGScoT_cleanbin_000003	Artikutza	Guipuzcoa	Natural
BPART241017M.MAGScoT_cleanbin_000004	82.21	5.81	Neural Network (Specific Model)	11	0.807	10292	281.85769046478197	2183299	0.36	2087	358	35479	None	Calidad media	B	ART	2024	1017	M	MAGScoT_cleanbin_000004	Artikutza	Guipuzcoa	Natural
BPART241017M.MAGScoT_cleanbin_000005	68.78	11.58	Gradient Boost (General Model)	11	0.751	3491	225.52738249245365	2083368	0.33	2319	753	33891	None	Calidad aceptable	B	ART	2024	1017	M	MAGScoT_cleanbin_000005	Artikutza	Guipuzcoa	Natural
BPART241017M.MAGScoT_cleanbin_000006	74.1	8.42	Neural Network (Specific Model)	11	0.866	10055	280.934649122807	2215903	0.36	2280	329	49085	None	Calidad media	B	ART	2024	1017	M	MAGScoT_cleanbin_000006	Artikutza	Guipuzcoa	Natural
BPART251001.MAGScoT_cleanbin_000001	100	0.13	Neural Network (Specific Model)	11	0.824	61766	299.63003165988243	2408291	0.44	2211	66	215148	None	Alta calidad	B	ART	2025	1001		MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART251001.MAGScoT_cleanbin_000002	100	46.18	Neural Network (Specific Model)	11	0.83	9460	278.632576845734	3501089	0.36	3481	588	47042	None	Rejects	B	ART	2025	1001		MAGScoT_cleanbin_000002	Artikutza	Guipuzcoa	Natural
BPART251001.MAGScoT_cleanbin_000003	66.72	11.24	Gradient Boost (General Model)	11	0.864	2071	231.50443717888837	1717040	0.44	2141	879	9639	None	Calidad aceptable	B	ART	2025	1001		MAGScoT_cleanbin_000003	Artikutza	Guipuzcoa	Natural
BPART251002.MAGScoT_cleanbin_000001	100	0.08	Neural Network (Specific Model)	11	0.825	101609	295.6325991189427	2436886	0.44	2270	71	186195	None	Alta calidad	B	ART	2025	1002		MAGScoT_cleanbin_000001	Artikutza	Guipuzcoa	Natural
BPART251002.MAGScoT_cleanbin_000002	99.71	0.06	Neural Network (Specific Model)	11	0.88	57104	300.2925877763329	1571693	0.35	1538	45	185927	None	Alta calidad	B	ART	2025	1002		MAGScoT_cleanbin_000002	Artikutza	Guipuzcoa	Natural
BPART251002.MAGScoT_cleanbin_000003	99.89	0	Neural Network (Specific Model)	11	0.919	181151	324.39757207890744	3482493	0.71	3295	35	405015	None	Alta calidad	B	ART	2025	1002		MAGScoT_cleanbin_000003	Artikutza	Guipuzcoa	Natural
BPART251002.MAGScoT_cleanbin_000004	98.37	0.09	Gradient Boost (General Model)	11	0.873	285780	307.13700305810397	1720719	0.33	1635	31	357545	None	Alta calidad	B	ART	2025	1002		MAGScoT_cleanbin_000004	Artikutza	Guipuzcoa	Natural
BPART251002.MAGScoT_cleanbin_000005	99.14	0.09	Neural Network (Specific Model)	11	0.878	414952	355.905701754386	1661597	0.47	1368	8	542547	None	Alta calidad	B	ART	2025	1002		MAGScoT_cleanbin_000005	Artikutza	Guipuzcoa	Natural
BPART251002.MAGScoT_cleanbin_000006	99.29	0.35	Gradient Boost (General Model)	11	0.939	14774	320.6564226519337	2961531	0.37	2896	305	50018	None	Alta calidad	B	ART	2025	1002		MAGScoT_cleanbin_000006	Artikutza	Guipuzcoa	Natural
BPART251002.MAGScoT_cleanbin_000007	85.35	5.63	Neural Network (Specific Model)	11	0.861	9860	279.44191144234986	2218782	0.36	2281	366	60214	None	Calidad media	B	ART	2025	1002		MAGScoT_cleanbin_000007	Artikutza	Guipuzcoa	Natural
BPART251002.MAGScoT_cleanbin_000008	73.27	4.17	Neural Network (Specific Model)	11	0.85	5963	252.84180543382996	2031611	0.35	2282	483	39955	None	Calidad media	B	ART	2025	1002		MAGScoT_cleanbin_000008	Artikutza	Guipuzcoa	Natural
